threads,serial,mutex,rwlock
1,0.8276064720,0.9119098260,0.9148181240
1,1.3001678610,1.3420230450,1.3483434550
1,1.2155674500,1.2328253220,1.2660572140
1,1.4002340340,1.3854196270,1.4101943610
1,1.4100113880,1.3945290180,1.3457410520
2,1.5071866490,1.5833955390,0.7456025420
2,1.5148349810,1.5702381370,0.7457061430
2,1.5955963740,1.6103187870,0.7737035820
2,1.6004980960,1.6185287380,0.7750449320
2,1.6556089740,1.6460778890,0.7930655120
4,1.6796297330,1.7387103310,0.4988652210
4,1.7342032580,1.7732418960,0.5054861710
4,1.7248741810,1.7384999540,0.5167485820
4,1.7703249070,1.7836636780,0.4528608800
4,1.8177990900,1.7908871050,0.5882469080
8,1.8510598730,1.9141601790,0.5633441880
8,1.8699024260,1.9107167990,0.5764415170
8,1.8807221840,1.9087276890,0.5906146980
8,1.8997633400,1.9030767780,0.6227585840
8,1.9205009380,1.9835642460,0.6042372920
